,user_id,location_id,latitude,longitude,previous,categorie,categorie_id,borough_id,area_id
148,11,1021,-73.88737372,40.64244029,1107,Rest Area,80,3,39
149,39,2260,-73.99171189,40.69342491,2263,University,182,3,33
150,26,220,-73.98802757,40.75650613,220,Subway,0,1,230
151,10,960,-73.94186034,40.80356164,962,Home (private),6,1,74
152,33,2049,-73.934303,40.7444576,2011,College & University,252,4,226
153,192,597,-73.990038,40.733029,5534,Coffee Shop,63,1,113
155,9,913,-73.94570922,40.82723997,912,Deli / Bodega,9,1,116
156,12,169,-73.99056762,40.73573435,196,Subway,0,1,234
157,211,5770,-73.98365433,40.74477609,5770,School,51,1,164
158,192,2540,-73.98792419,40.74218831,597,Park,12,1,234
161,216,5835,-73.929108,40.75730233,5835,Convenience Store,15,4,7
162,124,4454,-73.92255165,40.70621215,4458,Food & Drink Shop,135,3,36
163,116,633,-74.00256382,40.74106166,2452,Office,76,1,68
164,24,1658,-73.94687176,40.74803726,1293,Subway,0,4,145
166,216,5834,-73.925897,40.761636,5835,Drugstore / Pharmacy,7,4,7
167,192,5535,-73.98814227,40.74587751,2540,Hotel,40,1,164
170,104,4103,-73.97469534,40.74193376,4103,Medical Center,61,1,137
171,9,182,-73.98738384,40.69147465,913,Subway,0,3,65
172,45,2478,-73.97662951,40.74365597,2478,Coffee Shop,63,1,137
173,68,3195,-73.98246058,40.76363519,668,Office,52,1,230
174,2,310,-74.01412667,40.71362707,309,Office,52,1,13
175,192,5536,-73.98920972,40.74277999,5535,General Entertainment,18,1,234
177,10,958,-73.94624881,40.80774561,960,Neighborhood,4,1,41
178,124,4459,-73.97712596,40.72955814,4454,Home (private),6,1,224
179,224,5907,-73.91834636,40.84954116,5907,Home (private),6,2,235
180,221,261,-73.85915279,40.69251591,261,Train Station,37,4,258
182,11,259,-73.90339851,40.67837611,1021,Subway,0,3,177
183,26,1731,-73.98733307,40.75335633,220,Office,52,1,100
184,179,5369,-74.00699299,40.71203303,5369,Coffee Shop,63,1,231
185,35,2103,-73.8458778,40.78649845,2103,Library,87,4,53
187,2,311,-74.01586354,40.71542367,310,Library,87,1,13
188,10,169,-73.99056762,40.73573435,958,Subway,0,1,234
189,24,1660,-73.94427538,40.74686681,1658,Office,13,4,145
191,92,3856,-73.97227764,40.76081329,3856,Gym / Fitness Center,66,1,161
192,124,4463,-73.97979759,40.72172025,4459,Art Gallery,79,1,4
195,4,361,-73.97326049,40.75323752,470,Office,102,1,162
196,35,1704,-73.83569486,40.787087,2103,Drugstore / Pharmacy,7,4,252
197,221,223,-73.79997253,40.70240711,261,Subway,0,4,130
198,224,5910,-73.92035859,40.85353415,5907,Train Station,21,2,235
199,42,2360,-73.93463595,40.84981921,2362,Gym / Fitness Center,66,1,243
200,167,5184,-73.99058104,40.70253725,5186,Office,52,3,66
201,188,5495,-73.98789707,40.77018064,5495,College Academic Building,206,1,143
203,35,1723,-73.8334465,40.78322232,1704,Department Store,38,4,252
205,221,5882,-73.79423403,40.70580532,223,Bus Station,5,4,130
207,112,53,-74.01193142,40.71267093,53,Train Station,21,1,261
210,11,1024,-73.98024526,40.76530402,259,Medical Center,202,1,163
211,224,5912,-73.972307,40.756676,5910,Candy Store,207,1,162
212,196,2215,-73.94283772,40.66911608,5577,Neighborhood,4,3,61
213,183,5413,-73.97425915,40.75539132,5427,Office,52,1,162
214,112,1052,-73.98732159,40.69541297,53,University,182,3,65
215,195,5566,-73.90795827,40.87591427,5566,Neighborhood,4,1,153
216,0,6,-73.93010371,40.69321218,5,Home (private),6,3,225
217,224,5913,-73.970719,40.758592,5912,Coffee Shop,63,1,162
218,35,2113,-73.83175135,40.7829786,1723,Department Store,38,4,252
220,183,5414,-73.97573233,40.75556339,5413,Food Truck,33,1,161
222,35,2112,-73.846969,40.78969237,2113,Deli / Bodega,9,4,53
223,192,620,-73.99764061,40.73083612,5536,Park,12,1,114
224,195,5570,-73.925207,40.862018,5566,Bar,65,1,243
225,0,7,-73.93010371,40.69321218,6,Home (private),6,3,225
226,255,6190,-73.96217732,40.62738682,207,Nursery School,235,3,165
227,254,6185,-74.00570103,40.72568701,6185,Coffee Shop,63,1,125
231,187,5491,-73.90718828,40.85417013,5482,Fast Food Restaurant,74,2,235
232,21,1533,-74.00810145,40.6557824,1526,Office,52,3,228
233,45,2446,-73.97983777,40.74627135,2478,Coffee Shop,63,1,170
234,187,5482,-73.90470798,40.85477511,5491,School,51,2,169
237,230,5979,-73.98414215,40.74911053,5974,Sandwich Place,32,1,164
241,188,812,-73.92655344,40.82827721,5495,Stadium,184,2,247
243,195,2163,-74.00208235,40.71178449,5570,Government Building,217,1,45
247,230,2430,-73.98507714,40.74845179,5979,Coffee Shop,63,1,164
248,62,664,-73.87084723,40.73405558,3008,Mall,142,4,82
250,0,36,-73.98189068,40.7679967,7,Subway,0,1,142
251,68,1134,-73.98158249,40.76526318,3195,Wings Joint,211,1,163
252,93,3893,-73.98387815,40.74970614,3893,Sandwich Place,32,1,164
253,79,3522,-73.90887022,40.66263818,3521,Train Station,37,3,35
254,183,5420,-73.97545868,40.75573065,5414,Coffee Shop,63,1,161
255,45,2479,-73.97477569,40.74436076,2446,Deli / Bodega,9,1,170
256,50,2633,-73.80785996,40.78686922,2628,Beach,268,4,252
258,79,270,-73.9622459,40.66161146,3522,Subway,0,3,188
259,256,1723,-73.8334465,40.78322232,6209,Department Store,38,4,252
261,4,367,-73.97360485,40.75315456,361,Parking,104,1,162
262,2,312,-74.01428734,40.71499612,311,Café,49,1,13
263,53,2722,-73.77575825,40.64510209,2722,Airport,127,4,132
264,0,0,-74.004252,40.7255768,36,Subway,0,1,125
265,45,2474,-73.97635976,40.74423057,2479,Snack Place,131,1,137
266,254,6183,-73.98105448,40.72948264,6185,Antique Shop,303,1,79
267,9,674,-73.98889982,40.6921107,182,Burger Joint,73,3,65
268,33,2024,-73.97605687,40.76537006,2049,Hotel,40,1,163
269,4,397,-73.97305387,40.75275186,367,Bar,103,1,162
274,42,2361,-73.94186034,40.8331652,2360,Home (private),6,1,244
275,230,2421,-73.98556262,40.74828059,2430,Building,31,1,164
276,2,216,-73.9881134,40.71860728,312,Subway,0,1,148
277,241,855,-73.9201355,40.82507881,6070,City,53,2,69
278,206,2002,-73.91834636,40.6618636,5686,Neighborhood,4,3,35
279,79,3524,-73.94598475,40.58426059,270,Medical Center,89,3,150
280,224,5902,-73.9704424,40.7588332,5913,Sandwich Place,32,1,162
281,199,5612,-73.98058961,40.74623905,5612,Other Nightlife,45,1,170
282,10,976,-73.99044933,40.74204094,169,Sandwich Place,32,1,234
283,2,313,-73.98945451,40.718928,216,Medical Center,89,1,148
285,224,5903,-73.97041371,40.75911759,5902,Japanese Restaurant,114,1,162
288,254,1854,-73.98967713,40.73898202,6183,Food & Drink Shop,243,1,234
289,204,2925,-73.98775202,40.73365025,2925,Food & Drink Shop,27,1,107
290,13,1229,-73.73306215,40.67342077,1219,Food Truck,33,4,203
291,12,1127,-73.99108061,40.73315771,169,Bookstore,163,1,113
292,241,6070,-73.83602511,40.87719935,855,Home (private),6,2,51
294,25,1693,-73.78896895,40.78168478,1688,Home (private),6,4,15
296,24,1659,-73.94391251,40.7468584,1660,Food & Drink Shop,185,4,145
298,68,3195,-73.98246058,40.76363519,1134,Office,52,1,230
299,187,5481,-73.94134658,40.82462308,5482,Residential Building (Apartment / Condo),17,1,42
300,204,620,-73.99764061,40.73083612,2925,Park,12,1,114
301,139,4744,-74.00662094,40.74297207,4744,Office,52,1,68
302,39,2273,-73.83696416,40.57946707,2260,Drugstore / Pharmacy,7,4,201
304,20,1507,-73.95159864,40.6904954,1507,Deli / Bodega,9,3,17
305,4,145,-73.97330797,40.75274101,397,German Restaurant,67,1,162
306,44,2406,-73.89869928,40.67692779,2406,Train Station,37,3,76
307,104,2540,-73.98792419,40.74218831,4103,Park,12,1,234
308,195,4269,-73.98541049,40.74858132,2163,Clothing Store,75,1,164
309,92,3859,-73.97603273,40.76074016,3856,Church,160,1,161
310,206,5687,-73.92165606,40.66394232,2002,Food & Drink Shop,27,3,35
311,192,5537,-73.98958275,40.73524612,620,Theater,240,1,107
312,16,306,-73.9758855,40.751633,1335,Subway,0,1,162
313,21,1528,-73.99482808,40.75776201,1533,Bus Station,5,1,48
315,183,5437,-73.9802223,40.75760445,5420,Event Space,132,1,161
316,9,921,-73.989999,40.69321652,674,Subway,0,3,65
317,139,4753,-74.006813,40.743832,4744,Scenic Lookout,177,1,68
318,152,2538,-73.98348215,40.74022508,2538,University,182,1,107
319,26,1019,-74.01315451,40.70779134,1731,Subway,0,1,261
321,12,90,-73.94740149,40.70386504,1127,Train Station,37,3,80
322,103,4093,-73.83157099,40.76216824,4093,Miscellaneous Shop,25,4,92
323,35,2102,-73.8477874,40.79012656,2112,Home (private),6,4,53
325,206,406,-73.94028425,40.75047562,5687,Subway,0,4,145
326,188,5493,-73.93010371,40.77226863,812,Home (private),6,4,179
327,139,1702,-73.99970599,40.74383224,4753,Neighborhood,4,1,68
328,176,614,-73.99699733,40.72481838,614,Drugstore / Pharmacy,7,1,144
329,209,5746,-73.99496581,40.7261384,5742,Bar,151,1,114
331,204,3404,-74.00285648,40.73340972,620,Coffee Shop,63,1,249
332,206,5697,-73.91834636,40.77059295,406,Home (private),6,4,179
334,176,1503,-73.99875641,40.72288438,614,Neighborhood,4,1,144
335,139,4754,-73.9924809,40.75919961,1702,Seafood Restaurant,48,1,48
337,24,220,-73.98802757,40.75650613,1659,Subway,0,1,230
338,183,2587,-73.873511,40.841927,5437,Subway,0,2,78
340,10,967,-73.99256124,40.74287573,976,Drugstore / Pharmacy,7,1,234
341,206,5698,-73.91086578,40.77680426,5697,Church,160,4,223
344,52,677,-73.98914337,40.75850534,2695,Hotel,40,1,48
345,103,4086,-73.82947598,40.764016,4093,Food & Drink Shop,27,4,92
346,53,1342,-73.77643347,40.64557779,2722,Airport,57,4,132
347,116,1982,-73.945087,40.718862,633,Bar,54,3,80
350,52,2694,-73.79829884,40.66726067,677,Hotel,40,4,10
351,0,16,-74.00399271,40.72584842,0,Road,11,1,125
352,204,5674,-74.000508,40.742565,3404,Asian Restaurant,147,1,68
353,176,1763,-73.99108529,40.73485229,1503,Food & Drink Shop,27,1,113
355,93,3894,-73.99151103,40.73424579,3893,Spa / Massage,199,1,113
356,84,188,-73.98161693,40.57696138,188,Fast Food Restaurant,74,3,55
357,57,2863,-73.98875713,40.76411256,985,Deli / Bodega,9,1,48
358,57,2860,-73.99475922,40.7581666,2863,Bus Station,5,1,48
359,186,5471,-73.92228182,40.76654851,5478,General Travel,8,4,7
360,30,1915,-73.92818917,40.69285985,1880,Food & Drink Shop,27,3,225
361,84,3642,-73.94470453,40.77909533,188,Gym / Fitness Center,106,1,262
363,30,1909,-74.00947988,40.70652259,1915,Drugstore / Pharmacy,7,1,87
364,186,5469,-73.93309593,40.765689,5471,High School,50,4,7
365,21,1526,-74.00622498,40.65543162,1531,Deli / Bodega,9,3,228
371,77,1023,-73.9800329,40.76526206,3461,Subway,0,1,163
374,256,6202,-73.80423528,40.66680419,6198,Road,11,4,216
376,35,2108,-73.84654401,40.78877966,2102,Park,12,4,53
379,26,1749,-73.93240859,40.85715709,1019,Deli / Bodega,9,1,243
380,35,2118,-73.84578016,40.78372132,2108,Food & Drink Shop,27,4,53
383,35,2111,-73.8477874,40.79012656,2118,Home (private),6,4,53
384,112,53,-74.01193142,40.71267093,1626,Train Station,21,1,261
385,112,4239,-73.98709777,40.69866967,53,College Academic Building,206,3,65
386,14,496,-73.78452301,40.64508936,496,Airport,141,4,132
388,35,2126,-73.83095,40.78825,2111,Moving Target,24,4,252
389,115,4295,-73.9942542,40.73535685,4295,University,182,1,113
390,127,4519,-73.97940733,40.7765279,4519,Diner,14,1,142
391,40,2286,-73.98887973,40.60259049,204,Home (private),6,3,21
393,25,1692,-73.78896895,40.78168478,1693,Home (private),6,4,15
394,73,3341,-73.98887973,40.60259049,3341,Home (private),6,3,21
399,35,2129,-73.82992744,40.78187376,2126,Fast Food Restaurant,74,4,252
400,224,448,-73.91099453,40.87429177,5903,Train Station,21,1,153
401,186,5466,-73.88538698,40.76096605,5469,General Travel,8,4,129
403,73,3329,-73.992438,40.604532,3341,Other Great Outdoors,96,3,22
405,173,5275,-73.97890227,40.79173407,5275,Scenic Lookout,177,1,238
406,25,1689,-73.78896895,40.78168478,1692,Home (private),6,4,15
407,117,4328,-73.909589,40.874486,4328,Subway,0,1,153
408,35,2106,-73.83085012,40.78292986,2129,Department Store,38,4,252
410,5,566,-73.96588326,40.76195099,500,Pizza Place,2,1,141
413,166,3385,-73.99408204,40.6946729,3385,Coffee Shop,63,3,33
414,173,5277,-73.98713221,40.76187383,5275,Bakery,20,1,48
415,127,4522,-73.98310911,40.7744551,4519,Food & Drink Shop,27,1,142
416,35,2113,-73.83175135,40.7829786,2106,Department Store,38,4,252
419,77,3483,-73.98347641,40.76569097,1023,Fast Food Restaurant,74,1,163
422,14,1244,-73.99070758,40.7308585,496,Ramen /  Noodle House,86,1,113
423,25,1704,-73.83569486,40.787087,1689,Drugstore / Pharmacy,7,4,252
424,35,2102,-73.8477874,40.79012656,2113,Home (private),6,4,53
427,5,567,-73.98281336,40.77308313,566,Concert Hall,157,1,142
428,75,3397,-74.01204,40.61600447,3397,Bakery,20,3,67
430,35,2097,-73.8477874,40.79012656,2102,Home (private),6,4,53
433,40,227,-73.97761667,40.68456337,2286,Train Station,21,3,97
434,37,2175,-73.80359888,40.81780414,2175,Road,11,2,208
435,186,5468,-73.88307006,40.75568181,5466,Home (private),6,4,129
437,65,3134,-74.14084717,40.60804297,3134,Road,11,5,23
438,0,6,-73.93010371,40.69321218,16,Home (private),6,3,225
440,37,2162,-73.82426211,40.8360806,2175,Home (private),6,2,58
444,186,5466,-73.88538698,40.76096605,5468,General Travel,8,4,129
445,65,3123,-73.95361626,40.6272943,3134,Home (private),6,3,165
449,75,3396,-73.97712596,40.61082832,3397,Home (private),6,3,21
450,40,2289,-73.98104301,40.68807374,227,Office,102,3,25
454,49,2597,-73.85025406,40.84272097,1329,Neighborhood,4,2,242
455,65,2222,-73.9503479,40.58475655,3123,Road,11,3,150
456,5,568,-73.9561516,40.7761672,567,Bar,103,1,236
457,77,3478,-73.98008456,40.76280415,3483,Movie Theater,194,1,230
458,127,2416,-73.98302876,40.77222744,4522,Plaza,35,1,142
459,26,1748,-73.93257507,40.85805455,1749,Food & Drink Shop,27,1,243
462,30,1919,-73.92908473,40.6930735,1909,General Travel,8,3,225
464,10,958,-73.94624881,40.80774561,967,Neighborhood,4,1,41
466,4,426,-73.925739,40.863228,145,Pizza Place,2,1,127
469,201,1946,-73.96955278,40.68949822,1946,Bus Station,5,3,97
470,5,569,-73.98224824,40.77219637,568,Clothing Store,75,1,142
474,73,3342,-73.98887973,40.61249562,3329,Home (private),6,3,22
475,11,1026,-73.88456013,40.64948659,1024,Building,31,3,222
476,10,990,-73.99640624,40.73719515,169,Spa / Massage,199,1,234
480,77,3457,-73.94554276,40.78914409,3478,Residential Building (Apartment / Condo),17,1,75
481,124,4470,-73.92558284,40.70303585,4463,Food & Drink Shop,27,3,36
482,114,274,-73.99221104,40.75044987,274,Stadium,84,1,186
483,256,6205,-73.92177662,40.61038907,6202,Department Store,38,3,155
486,256,6206,-73.90108109,40.60287514,6205,Bridge,82,3,154
490,73,3334,-73.99253255,40.60444982,3342,Deli / Bodega,9,3,22
492,40,2300,-73.98026247,40.68806619,2289,Sandwich Place,32,3,97
493,5,570,-73.99197578,40.72561027,569,American Restaurant,41,1,79
494,225,5917,-74.00383203,40.74282782,5917,Deli / Bodega,9,1,68
495,73,3329,-73.992438,40.604532,3334,Other Great Outdoors,96,3,22
496,115,4296,-74.00487185,40.71933912,4295,Hotel,40,1,231
498,14,1243,-73.99128147,40.73743415,1244,Bar,151,1,234
500,0,10,-73.94807993,40.70408638,7,General Travel,8,3,217
501,201,1431,-73.99270535,40.74260751,248,Electronics Store,28,1,234
503,173,5281,-73.98758098,40.76279562,5277,Theater,326,1,48
505,0,1,-73.94942887,40.71430292,10,Other Great Outdoors,1,3,80
507,49,2593,-73.8915079,40.83013108,2597,Neighborhood,4,2,167
509,49,2596,-73.89188686,40.8301081,2593,Subway,0,2,167
510,52,2694,-73.79829884,40.66726067,2694,Hotel,40,4,10
511,49,220,-73.98802757,40.75650613,2596,Subway,0,1,230
512,52,2706,-73.884723,40.8309567,2694,Building,31,2,60
514,11,1042,-73.89557183,40.63861726,1026,Taco Place,186,3,39
516,10,224,-73.97717535,40.75280621,990,Train Station,21,1,162
518,135,4677,-73.95784374,40.67230729,4677,Beer Garden,165,3,61
519,49,1758,-73.989079,40.75699374,220,Movie Theater,194,1,230
521,80,184,-73.98124695,40.57745558,184,Subway,0,3,55
522,245,6106,-74.16509908,40.59770413,6106,Home (private),6,5,23
524,4,427,-73.9244,40.86752648,426,Arcade,120,1,127
528,14,1237,-74.00270154,40.75006726,1243,Bar,64,1,246
530,84,3639,-73.9998265,40.57717897,3642,Bus Station,5,3,55
532,105,4104,-73.98261554,40.76389579,4104,Coffee Shop,63,1,230
533,11,1020,-73.90067339,40.64365659,1042,Neighborhood,4,3,39
535,251,4014,-74.00106579,40.71749324,1499,Music Venue,43,1,231
537,4,448,-73.91099453,40.87429177,427,Train Station,21,1,153
538,230,5973,-73.98609638,40.74809415,2421,Bar,103,1,164
539,245,6107,-74.1063776,40.60927923,6106,Home (private),6,5,118
542,4,358,-73.92073631,40.86772025,448,Restaurant,42,1,127
544,86,2144,-73.82995703,40.75939258,3667,Other Great Outdoors,1,4,92
545,52,2695,-73.7823987,40.64407991,2694,Airport,57,4,132
546,14,1238,-73.98922694,40.731698,1237,Music Venue,43,1,79
547,12,257,-73.94938295,40.70541414,90,Subway,0,3,80
549,167,5186,-73.98317224,40.72517114,1499,Bar,65,1,79
551,80,19,-74.00257587,40.73977359,184,Subway,0,1,249
553,230,5974,-73.9890146,40.71918331,5973,College Academic Building,277,1,148
555,86,3691,-73.8819647,40.70228793,2144,Road,11,4,102
557,49,220,-73.98802757,40.75650613,1758,Subway,0,1,230
559,135,4685,-73.98476601,40.7274539,4677,Café,49,1,79
561,86,3667,-73.88307006,40.71616168,3691,Home (private),6,4,160
562,42,2365,-73.91000154,40.76984344,2361,Bar,117,4,223
564,171,5255,-73.95361626,40.82497237,5265,Home (private),6,1,116
565,49,2596,-73.89188686,40.8301081,220,Subway,0,2,167
566,14,1239,-73.97928718,40.76224487,1238,Hotel,40,1,230
567,49,2601,-73.882327,40.850988,2596,Moving Target,24,2,31
568,52,2697,-73.99148807,40.75215522,2695,Hotel,40,1,100
569,251,1510,-73.99897144,40.72789008,4014,Bar,117,1,114
571,77,3481,-73.95361626,40.79536351,3457,Home (private),6,1,43
572,241,6073,-73.83842468,40.87873731,6070,Subway,0,2,51
573,80,2392,-73.98163319,40.73059222,19,Subway,0,1,79
575,206,5697,-73.91834636,40.77059295,5698,Home (private),6,4,179
576,52,2694,-73.79829884,40.66726067,2697,Hotel,40,4,10
578,80,3549,-73.98888588,40.72260792,2392,Diner,14,1,148
579,0,5,-73.94822344,40.70402767,1,Bus Station,5,3,217
580,241,6074,-73.98530719,40.7592256,6073,Theater,240,1,230
581,4,449,-73.9244511,40.86752489,358,Campground,81,1,127
583,43,1036,-73.90266895,40.64609878,1036,Subway,0,3,39
584,43,2385,-73.92037008,40.63355856,1036,Other Great Outdoors,1,3,91
585,251,6165,-73.98887973,40.70156643,1510,Home (private),6,3,66
587,84,188,-73.98161693,40.57696138,3639,Fast Food Restaurant,74,3,55
588,84,233,-74.01172221,40.63505531,188,Subway,0,3,227
589,84,3648,-74.0144767,40.63434459,233,Donut Shop,149,3,227
591,105,4118,-73.97571695,40.78534773,4104,Church,160,1,239
593,33,2024,-73.97605687,40.76537006,2011,Hotel,40,1,163
594,30,1909,-74.00947988,40.70652259,1919,Drugstore / Pharmacy,7,1,87
597,11,1021,-73.88737372,40.64244029,1020,Rest Area,80,3,39
598,38,2224,-74.1088983,40.61037463,2224,Road,11,5,251
599,5,616,-73.91520884,40.83248411,570,Parking,104,2,69
600,92,3859,-73.97603273,40.76074016,3859,Church,160,1,161
604,35,2112,-73.846969,40.78969237,2097,Deli / Bodega,9,4,53
605,69,2425,-73.98607048,40.74009249,2425,Gym / Fitness Center,66,1,107
606,11,1026,-73.88456013,40.64948659,1021,Building,31,3,222
608,35,2108,-73.84654401,40.78877966,2112,Park,12,4,53
609,9,940,-73.9442163,40.8247747,921,Subway,0,1,116
611,192,5445,-73.98112909,40.7817733,5537,Theater,240,1,239
612,35,2124,-73.84662151,40.78593559,2108,Church,160,4,53
613,14,1239,-73.97928718,40.76224487,1239,Hotel,40,1,230
614,49,72,-73.99320973,40.73939794,2601,General Entertainment,18,1,234
619,62,3008,-73.89482953,40.76723746,664,Home (private),6,4,223
621,201,5641,-73.99124704,40.75544236,551,Coffee Shop,63,1,48
622,9,941,-73.84554863,40.75460438,940,Subway,0,4,93
623,35,2105,-73.84581462,40.78526854,2124,Drugstore / Pharmacy,7,4,53
624,167,5186,-73.98317224,40.72517114,5186,Bar,65,1,79
625,3,337,-73.87085335,40.67295263,337,Chinese Restaurant,10,3,76
